10	2.80E-001	4.09E-003	0.128
11	2.92E-001	3.86E-003	0.138
12	3.04E-001	3.66E-003	0.148
13	3.16E-001	3.49E-003	0.158
14	3.26E-001	3.33E-003	0.168
15	3.36E-001	3.19E-003	0.178
16	3.45E-001	3.06E-003	0.187
17	3.54E-001	2.95E-003	0.196
18	3.62E-001	2.84E-003	0.205
20	3.77E-001	2.65E-003	0.223
22.5	3.93E-001	2.45E-003	0.244
25	4.06E-001	2.28E-003	0.265
27.5	4.18E-001	2.14E-003	0.286
30	4.28E-001	2.01E-003	0.306
32.5	4.36E-001	1.90E-003	0.326
35	4.43E-001	1.80E-003	0.345
37.5	4.49E-001	1.72E-003	0.365
40	4.54E-001	1.64E-003	0.384
45	4.61E-001	1.51E-003	0.422
50	4.66E-001	1.39E-003	0.460
55	4.69E-001	1.30E-003	0.498
60	4.70E-001	1.22E-003	0.535
65	4.69E-001	1.15E-003	0.573
70	4.68E-001	1.09E-003	0.611
80	4.64E-001	9.80E-004	0.688
90	4.57E-001	8.96E-004	0.766
100	4.50E-001	8.26E-004	0.845
110	4.42E-001	7.67E-004	0.926
120	4.34E-001	7.17E-004	1.01
130	4.26E-001	6.73E-004	1.09
140	4.18E-001	6.35E-004	1.18
150	4.10E-001	6.01E-004	1.27
160	4.02E-001	5.71E-004	1.36
170	3.94E-001	5.44E-004	1.45
180	3.87E-001	5.20E-004	1.54
200	3.73E-001	4.78E-004	1.73
225	3.57E-001	4.35E-004	1.98
250	3.43E-001	3.99E-004	2.24
275	3.30E-001	3.69E-004	2.51
300	3.18E-001	3.44E-004	2.8
325	3.07E-001	3.22E-004	3.09
350	2.97E-001	3.03E-004	3.39
375	2.88E-001	2.86E-004	3.71
400	2.79E-001	2.71E-004	4.03
450	2.64E-001	2.46E-004	4.7
500	2.51E-001	2.25E-004	5.42
550	2.39E-001	2.08E-004	6.16
600	2.29E-001	1.94E-004	6.95
650	2.20E-001	1.81E-004	7.77
700	2.12E-001	1.70E-004	8.62
800	1.97E-001	1.52E-004	10.42
900	1.85E-001	1.37E-004	12.34
1000	1.75E-001	1.26E-004	14.38
1100	1.65E-001	1.16E-004	16.54
1200	1.56E-001	1.08E-004	18.83
1300	1.48E-001	1.00E-004	21.26
1400	1.41E-001	9.42E-005	23.81
1500	1.35E-001	8.88E-005	26.48
1600	1.29E-001	8.40E-005	29.27
1700	1.24E-001	7.97E-005	32.19
1800	1.19E-001	7.59E-005	35.22
2000	1.11E-001	6.93E-005	41.63
2250	1.02E-001	6.25E-005	50.28
2500	9.49E-002	5.71E-005	59.64
2750	8.87E-002	5.25E-005	69.67
3000	8.34E-002	4.87E-005	80.38
3250	7.87E-002	4.54E-005	91.75
3500	7.46E-002	4.26E-005	103.77
3750	7.10E-002	4.01E-005	116.42
4000	6.77E-002	3.79E-005	129.71
4500	6.21E-002	3.41E-005	158.13
5000	5.74E-002	3.11E-005	188.98
5500	5.35E-002	2.86E-005	222.22
6000	5.01E-002	2.65E-005	257.8
6500	4.72E-002	2.47E-005	295.69
7000	4.46E-002	2.31E-005	335.85
8000	4.03E-002	2.05E-005	422.78
9000	3.68E-002	1.85E-005	518.46
10000	3.40E-002	1.68E-005	622.71
11000	3.16E-002	1.55E-005	735.35
12000	2.95E-002	1.43E-005	856.24
13000	2.77E-002	1.33E-005	985.24
14000	2.62E-002	1.25E-005	1120.000
15000	2.48E-002	1.17E-005	1270.000
16000	2.36E-002	1.11E-005	1420.000
17000	2.25E-002	1.05E-005	1580.000
18000	2.15E-002	9.96E-006	1750.000
20000	1.98E-002	9.06E-006	2110.000
22500	1.80E-002	8.15E-006	2590.000
25000	1.66E-002	7.41E-006	3130.000
27500	1.54E-002	6.80E-006	3710.000
30000	1.44E-002	6.29E-006	4330.000
32500	1.35E-002	5.85E-006	4990.000
35000	1.27E-002	5.47E-006	5690.000
37500	1.20E-002	5.14E-006	6440.000
40000	1.15E-002	4.85E-006	7230.000
45000	1.04E-002	4.36E-006	8910.000
50000	9.62E-003	3.96E-006	10750.000
