1	3.84E+01	1.15E+02	0.0043
1.1	4.03E+01	1.17E+02	0.0046
1.2	4.21E+01	1.18E+02	0.0049
1.3	4.38E+01	1.20E+02	0.0052
1.4	4.54E+01	1.21E+02	0.0056
1.5	4.70E+01	1.22E+02	0.0059
1.6	4.86E+01	1.23E+02	0.0061
1.7	5.01E+01	1.24E+02	0.0064
1.8	5.15E+01	1.25E+02	0.0067
2	5.43E+01	1.26E+02	0.0073
2.25	5.76E+01	1.28E+02	0.008
2.5	6.07E+01	1.29E+02	0.0088
2.75	6.37E+01	1.29E+02	0.0095
3	6.65E+01	1.30E+02	0.0102
3.25	6.92E+01	1.30E+02	0.0109
3.5	7.19E+01	1.30E+02	0.0116
3.75	7.44E+01	1.30E+02	0.0123
4	7.68E+01	1.30E+02	0.013
4.5	8.15E+01	1.30E+02	0.0143
5	8.59E+01	1.30E+02	0.0157
5.5	9.01E+01	1.29E+02	0.0171
6	9.41E+01	1.28E+02	0.0184
6.5	9.79E+01	1.27E+02	0.0198
7	1.02E+02	1.26E+02	0.0211
8	1.09E+02	1.24E+02	0.0239
9	1.15E+02	1.22E+02	0.0266
10	1.21E+02	1.20E+02	0.0293
11	1.27E+02	1.17E+02	0.0319
12	1.33E+02	1.15E+02	0.0346
13	1.38E+02	1.13E+02	0.0373
14	1.44E+02	1.11E+02	0.04
15	1.49E+02	1.09E+02	0.0427
16	1.54E+02	1.07E+02	0.0453
17	1.58E+02	1.06E+02	0.048
18	1.63E+02	1.04E+02	0.0506
20	1.72E+02	1.00E+02	0.0559
22.5	1.82E+02	9.66E+01	0.0625
25	1.97E+02	9.30E+01	0.0689
27.5	2.16E+02	8.98E+01	0.0752
30	2.33E+02	8.68E+01	0.0812
32.5	2.48E+02	8.40E+01	0.087
35	2.60E+02	8.14E+01	0.0928
37.5	2.71E+02	7.90E+01	0.0984
40	2.80E+02	7.68E+01	0.104
45	2.96E+02	7.27E+01	0.115
50	3.09E+02	6.91E+01	0.1259
55	3.20E+02	6.59E+01	0.1366
