1	2.77E+01	1.27E+02	0.006
1.1	2.91E+01	1.29E+02	0.0064
1.2	3.04E+01	1.30E+02	0.0069
1.3	3.16E+01	1.31E+02	0.0073
1.4	3.28E+01	1.32E+02	0.0078
1.5	3.40E+01	1.32E+02	0.0082
1.6	3.51E+01	1.33E+02	0.0086
1.7	3.62E+01	1.33E+02	0.0091
1.8	3.72E+01	1.33E+02	0.0095
2	3.92E+01	1.34E+02	0.0103
2.25	4.16E+01	1.34E+02	0.0114
2.5	4.38E+01	1.34E+02	0.0124
2.75	4.60E+01	1.33E+02	0.0135
3	4.80E+01	1.33E+02	0.0145
3.25	5.00E+01	1.32E+02	0.0156
3.5	5.19E+01	1.32E+02	0.0166
3.75	5.37E+01	1.31E+02	0.0176
4	5.55E+01	1.30E+02	0.0187
4.5	5.88E+01	1.28E+02	0.0207
5	6.20E+01	1.26E+02	0.0228
5.5	6.50E+01	1.25E+02	0.0249
6	6.79E+01	1.23E+02	0.0269
6.5	7.07E+01	1.21E+02	0.029
7	7.34E+01	1.19E+02	0.0311
8	7.84E+01	1.15E+02	0.0352
9	8.32E+01	1.12E+02	0.0394
10	8.77E+01	1.09E+02	0.0435
11	9.20E+01	1.06E+02	0.0477
12	9.61E+01	1.03E+02	0.0519
13	1.00E+02	1.00E+02	0.056
14	1.04E+02	9.78E+01	0.0602
15	1.07E+02	9.54E+01	0.0643
16	1.11E+02	9.32E+01	0.0685
17	1.14E+02	9.10E+01	0.0726
18	1.18E+02	8.90E+01	0.0767
20	1.24E+02	8.53E+01	0.0849
22.5	1.32E+02	8.11E+01	0.0952
25	1.38E+02	7.73E+01	0.1053
27.5	1.45E+02	7.40E+01	0.1153
30	1.50E+02	7.09E+01	0.1253
32.5	1.55E+02	6.82E+01	0.1353
35	1.60E+02	6.57E+01	0.1452
37.5	1.65E+02	6.34E+01	0.155
40	1.70E+02	6.13E+01	0.1647
45	1.78E+02	5.75E+01	0.1841
50	1.85E+02	5.42E+01	0.2032
55	1.92E+02	5.14E+01	0.2221
60	1.99E+02	4.88E+01	0.2407
65	2.05E+02	4.66E+01	0.2592
70	2.12E+02	4.46E+01	0.2774
80	2.23E+02	4.10E+01	0.3132
90	2.33E+02	3.81E+01	0.3481
100	2.43E+02	3.56E+01	3823
110	2.52E+02	3.35E+01	4158
120	2.61E+02	3.16E+01	4486
130	2.69E+02	3.00E+01	4808
140	2.77E+02	2.85E+01	5123
150	2.85E+02	2.72E+01	5433
160	2.92E+02	2.61E+01	5737
170	2.99E+02	2.50E+01	6036
180	3.06E+02	2.40E+01	6330
200	3.20E+02	2.23E+01	6904
225	3.37E+02	2.05E+01	7596
250	3.53E+02	1.90E+01	8261
275	3.69E+02	1.77E+01	8902
300	3.85E+02	1.67E+01	9521
325	4.01E+02	1.57E+01	1.01
350	4.16E+02	1.49E+01	1.07
375	4.30E+02	1.41E+01	1.13
400	4.45E+02	1.34E+01	1.18
450	4.73E+02	1.23E+01	1.28
500	4.99E+02	1.13E+01	1.38
550	5.24E+02	1.05E+01	1.48
600	5.48E+02	9.86E+00	1.57
650	5.72E+02	9.27E+00	1.65
700	5.94E+02	8.75E+00	1.74
800	6.37E+02	7.88E+00	1.9
900	6.76E+02	7.18E+00	2.05
1000	7.13E+02	6.60E+00	2.19
1100	7.48E+02	6.12E+00	2.32
1200	7.81E+02	5.70E+00	2.45
1300	8.11E+02	5.35E+00	2.58
1400	8.39E+02	5.04E+00	2.7
1500	8.65E+02	4.76E+00	2.81
1600	8.89E+02	4.52E+00	2.93
1700	9.12E+02	4.30E+00	3.04
1800	9.32E+02	4.11E+00	3.14
2000	9.69E+02	3.76E+00	3.35
2250	1.01E+03	3.42E+00	3.6
2500	1.03E+03	3.13E+00	3.85
2750	1.06E+03	2.89E+00	4.08
3000	1.07E+03	2.69E+00	4.32
3250	1.09E+03	2.52E+00	4.55
3500	1.09E+03	2.37E+00	4.78
3750	1.10E+03	2.23E+00	5
4000	1.10E+03	2.11E+00	5.23
4500	1.10E+03	1.91E+00	5.68
5000	1.10E+03	1.75E+00	6.13
5500	1.09E+03	1.61E+00	6.59
6000	1.08E+03	1.50E+00	7.05
6500	1.07E+03	1.40E+00	7.51
7000	1.05E+03	1.32E+00	7.98
8000	1.02E+03	1.17E+00	8.94
9000	9.93E+02	1.06E+00	9.93
10000	9.62E+02	9.68E-01	10.96
11000	9.31E+02	8.92E-01	12010
12000	9.02E+02	8.27E-01	13100
13000	8.73E+02	7.72E-01	14230
14000	8.46E+02	7.23E-01	15390
15000	8.21E+02	6.81E-01	16590
16000	7.97E+02	6.44E-01	17820
17000	7.74E+02	6.11E-01	19100
18000	7.52E+02	5.81E-01	20410
20000	7.12E+02	5.30E-01	23140
22500	6.68E+02	4.78E-01	26760
25000	6.33E+02	4.36E-01	30610
27500	6.05E+02	4.01E-01	34640
30000	5.74E+02	3.71E-01	38890
32500	5.46E+02	3.46E-01	43350
35000	5.20E+02	3.24E-01	48040
37500	4.97E+02	3.05E-01	52960
40000	4.76E+02	2.88E-01	58090
45000	4.40E+02	2.59E-01	69010
50000	4.09E+02	2.36E-01	80800
55000	3.82E+02	2.17E-01	93440
60000	3.59E+02	2.01E-01	106920
65000	3.39E+02	1.87E-01	121250
70000	3.21E+02	1.75E-01	136400
80000	2.90E+02	1.55E-01	169160
90000	2.65E+02	1.40E-01	205210
100000	2.44E+02	1.27E-01	244540
110000	2.26E+02	1.17E-01	287120
120000	2.10E+02	1.08E-01	332970
130000	1.97E+02	1.01E-01	382060
140000	1.85E+02	9.42E-02	434390
150000	1.75E+02	8.85E-02	489970
160000	1.65E+02	8.35E-02	548770
170000	1.57E+02	7.91E-02	610800
180000	1.50E+02	7.51E-02	676040
200000	1.37E+02	6.83E-02	816000
225000	1.23E+02	6.14E-02	1010
250000	1.13E+02	5.58E-02	1220
275000	1.04E+02	5.12E-02	1450
300000	9.68E+01	4.73E-02	1700
325000	9.08E+01	4.40E-02	1970
350000	8.57E+01	4.11E-02	2250
375000	8.12E+01	3.86E-02	2550
400000	7.70E+01	3.64E-02	2870
450000	6.99E+01	3.27E-02	3550
500000	6.42E+01	2.97E-02	4290
550000	5.94E+01	2.72E-02	5100
600000	5.54E+01	2.52E-02	5980
650000	5.19E+01	2.34E-02	6910
700000	4.90E+01	2.19E-02	7900
800000	4.40E+01	1.94E-02	10050
900000	4.02E+01	1.74E-02	12430
1000000	3.70E+01	1.58E-02	15020
1100000	3.44E+01	1.45E-02	17830
1200000	3.22E+01	1.34E-02	20830
1300000	3.03E+01	1.24E-02	24030
1400000	2.87E+01	1.16E-02	27420
1500000	2.73E+01	1.09E-02	30990
1600000	2.61E+01	1.02E-02	34730
1700000	2.50E+01	9.69E-03	38650
1800000	2.40E+01	9.19E-03	42740
2000000	2.23E+01	8.34E-03	51390
2250000	2.06E+01	7.49E-03	63050
2500000	1.92E+01	6.79E-03	75610
2750000	1.81E+01	6.22E-03	89010
3000000	1.72E+01	5.74E-03	103190
3250000	1.64E+01	5.33E-03	118110
3500000	1.57E+01	4.98E-03	133720
3750000	1.51E+01	4.67E-03	149970
4000000	1.46E+01	4.40E-03	166840
4500000	1.37E+01	3.95E-03	202250
5000000	1.30E+01	3.58E-03	239720
5500000	1.24E+01	3.28E-03	279030
6000000	1.20E+01	3.02E-03	319980
